Español (pista),Polaco
bueno (masculino),dobry
bueno (femenino),dobra
bueno (neutro),dobre
nuevo (masculino),nowy
nuevo (femenino),nowa
nuevo (neutro),nowe
alto (masculino),wysoki
alto (femenino),wysoka
alto (neutro),wysokie
bajo (masculino),niski
bajo (femenino),niska
bajo (neutro),niskie
delgado (masculino),szczupły
delgado (femenino),szczupła
delgado (neutro),szczupłe
gordo (masculino),gruby
gordo (femenino),gruba
gordo (neutro),grube
joven (masculino),młody
joven (femenino),młoda
joven (neutro),młode
viejo (masculino),stary
viejo (femenino),stara
viejo (neutro),stare
sano (masculino),zdrowy
sano (femenino),zdrowa
sano (neutro),zdrowe
enfermo (masculino),chory
enfermo (femenino),chora
enfermo (neutro),chore
alegre (masculino),wesoły
alegre (femenino),wesoła
alegre (neutro),wesołe
triste (masculino),smutny
triste (femenino),smutna
triste (neutro),smutne
bonito / guapo (masculino),ładny
bonito / guapo (femenino),ładna
bonito / guapo (neutro),ładne
feo (masculino),brzydki
feo (femenino),brzydka
feo (neutro),brzydkie
atractivo (guapo) (masculino),przystojny
atractivo (guapo) (femenino),przystojna
atractivo (guapo) (neutro),przystojne
deportista / atlético (masculino),wysportowany
deportista / atlético (femenino),wysportowana
deportista / atlético (neutro),wysportowane
no deportista (masculino),niewysportowany
no deportista (femenino),niewysportowana
no deportista (neutro),niewysportowane
grande (masculino),duży
grande (femenino),duża
grande (neutro),duże
