¿Cómo se llama el caso «Mianownik» en español?,Nominativo.
¿Qué preguntas responde el Mianownik?,Kto? (¿Quién?) y Co? (¿Qué?).
¿Cómo digo «¿Qué es esto?»?,Co to jest?
¿Cómo digo «¿Quién es?»?,Kto to jest?
Fórmula para identificar (singular → plural),To jest … → To są …
Ejemplo singular (objeto),Co to jest? To jest okno.
Ejemplo plural (objeto),Co to jest? To są drzwi.
Ejemplo singular (persona),Kto to jest? To jest student.
Género masculino — terminación típica,"Consonante (–): student, komputer, stół."
Género femenino — terminación típica,"-a / -i: kobieta, kawa, pani, fotografia."
Género neutro — terminación típica,"-o / -e / -ę / -um: okno, radio, imię, muzeum."
¿Qué son «pluralia tantum»? (ejemplos),"Palabras solo en plural: okulary, drzwi, dżinsy → To są …"
Pregunta de adjetivo (masculino),"Jaki? → dobry komputer, wysoki mężczyzna."
Pregunta de adjetivo (femenino),"Jaka? → dobra kawa, wysoka kobieta."
Pregunta de adjetivo (neutro),"Jakie? → dobre okno, wesołe dziecko."
Regla rápida de adjetivos en masculino,"Suele acabar en -y; tras k/g → -i (wysoki, drogi)."
Traduce: «Esto es un buen ordenador»,To jest dobry komputer.
Traduce: «Ese es un niño alegre»,To jest wesołe dziecko.
Formato con profesión,To jest nauczyciel / dentystka (nominativo).
Negación con verbo (recordatorio),nie + verbo: Nie rozumiem. / Nie mamy czasu.
Mini‑test: ¿Kto o Co? — «lektor»,Kto (persona).
Mini‑test: ¿Kto o Co? — «okno»,Co (cosa).
Mini‑test: elige To jest / To są — «okulary»,To są okulary.
Mini‑test: género de «muzeum»,Neutro (nijaki).
